iter	Passed	Remaining
0	1	197
1	3	161
2	4	141
3	5	124
4	6	119
5	7	116
6	15	210
7	17	199
8	25	255
9	26	241
10	29	237
11	30	227
12	32	214
13	33	204
14	34	195
15	35	187
16	37	180
17	38	176
18	39	169
19	40	163
20	42	158
21	43	153
22	44	148
23	45	144
24	47	141
25	48	137
26	57	156
27	59	152
28	60	148
29	61	143
30	64	143
31	65	140
32	67	136
33	68	132
34	69	128
35	70	125
36	71	122
37	74	121
38	75	117
39	76	115
40	77	112
41	78	108
42	79	105
43	81	103
44	82	101
45	83	98
46	85	95
47	86	93
48	87	91
49	90	90
50	91	88
51	92	85
52	93	83
53	95	80
54	95	78
55	97	76
56	99	74
57	100	72
58	101	70
59	102	68
60	103	66
61	104	64
62	106	62
63	107	60
64	109	58
65	110	57
66	112	55
67	113	53
68	114	51
69	115	49
70	125	51
71	130	50
72	132	49
73	134	47
74	135	45
75	136	43
76	137	41
77	139	39
78	140	37
79	141	35
80	143	33
81	144	31
82	145	29
83	146	27
84	147	26
85	148	24
86	150	22
87	151	20
88	153	18
89	154	17
90	163	16
91	165	14
92	166	12
93	167	10
94	169	8
95	171	7
96	172	5
97	173	3
98	174	1
99	175	0
